last_name,first_name,orcid_ID,pubmed_author
Andermann,Eva,,Andermann E
Antel,Jack,,Antel J
Armstrong,Gary,,Armstrong GAB
Arnold,Douglas,,Arnold D
Avoli,Massimo,,Avoli M
Baillet,Sylvain,,Baillet S
Bernasconi,Andrea,,Bernasconi A
Bernasconi,Neda,,Bernasconi N
Bernhardt,Boris,,Bernhardt B
Brais,Bernard,,Brais B
Chai,Xiaoqian,,Chai X
Cloutier,Jean-Francois,,Cloutier JF
Collins,Donald Louis,,Collins DL
Cortes,Maria,,Cortes M
Dagher,Alain,,Dagher A
de Villers-Sidani,Etienne,,Villers-Sidani
Dion,Patrick,,Dion P
Djordjevic,Jelena,,Djordjevic J
Doyon,Julien,,Doyon J
Dubeau,Francois,,Dubeau F
Durcan,Thomas,,Durcan T
Durham,Heather,,Durham H
Evans,Alan,,Evans A
Fellows,Lesley,,Fellows L
Fon,Edward,,Fon E
Fournier,Alyson,,Fournier A
Gan-Or,Ziv,,Gan-Or Z
Geddes,Maiya,,Geddes M
Genge,Angela,,Genge A
Giacomini,Paul,,Giacomini P
Gotman,Jean,,Gotman J
Goulet,Benoit,,Goulet B
Guitton,Daniel,,Guitton D
Hamel,Edith,,Hamel E
Hastings,Kenneth,,Hastings K
Hoge,Richard,,Hoge R
Huot,Philippe,,Huot P
Iturria Medina,Yasser,,Iturria-Medina Y
Jones,Barbara,,Jones B
Jones-Gotman,Marilyn,,Jones-Gotman M
Karamchandani,Jason,,Karamchandani J
Kennedy,Timothy,,Kennedy TE
Klein,Denise,,Klein D
Kobayashi,Eliane,,Kobayashi E
Kostikov,Alexey,,Kostikov A
Lafontaine,Anne-Louise,,Lafontaine AL
Lapierre,Yves,,Lapierre Y
Legault,Catherine,,Legault C
Leonard,Gabriel,,Gabriel L
Levin,Leonard,,Levin L
Lo,Benjamin,,Lo B
Massie,Rami,,Massie R
McBride,Heidi,,McBride H
McPherson,Peter,,McPherson P
Milner,Brenda,,Milner B
Milnerwood,Austen,,Milnerwood A
Misic,Bratislav,,Misic B
Nalbantoglu,Josephine,,Nalbantoglu J
Narayanan,Sridar,,Narayanan S
O'Ferrall,Erin,,O'Ferrall E
Pack,Christopher,,Pack C
Petrecca,Kevin,,Petrecca K
Petrides,Michael,,Petrides M
Peyrache,Adrien,,Peyrache A
Plourde,Gilles,,Plourde G
Poline,Jean-Baptiste,,Poline JB
Postuma,Ronald,,Postuma R
Poulin,Jean-Francois,,Poulin JF
Ptito,Alain,,Ptito A
Richards,Blake,,Richards BA
Rouleau,Guy,,Rouleau G
Rudko,David,,Rudko D
Ruthazer,Edward,,Ruthazer E
Sadikot,Abbas,,Sadikot A
Santaguida,Carlo,,Santaguida C
Saveriano,Alexander,,Saveriano A
Seguela,Philippe,,Seguela P
Sharp,Madeleine,,Sharp M
Shmuel,Amir,,Shmuel A
Shoubridge,Eric,,Shoubridge E
Sossin,Wayne,,Sossin W
Soucy,Jean-Paul,,Soucy JP
Spreng,Nathan,,Spreng RN
Stifani,Stefano,,Stifani S
Stratton,Jo Anne,,Stratton JA
Stroh,Thomas,,Stroh T
Sziklas,Viviane,,Sziklas V
Tardif,Christine,,Tardif C
Teitelbaum,Jeanne,,Teitelbaum J
Trenholm,Stuart,,Trenholm S
Trojan,Daria,,Trojan D
Veilleux,Martin,,Veilleux M
Xiong,Lan,,Xiong Lan
Zatorre,Robert,,Zatorre R
Zhou,Yang,,Zhou Yang
Ducharme,Simon,,Ducharme S
Cote,Richard,,Cote R
Elsabbagh,Mayada,,Elsabbagh M
Diaz,Roberto,,Diaz R
Farhan,Sali,,Farhan S
Hall,Jeffery,0000-0001-8403-8986,Hall J
La Piana,Roberta,,La Piana R
Sinclair,David,,Sinclair David
Leblanc,Richard,,Leblanc Richard
Massarweh,Gassan,,Massarweh G
Sirhan,Denis,,Sirhan D
Anazodo,Udunna,,Anazodo U
Clery,Justine,,Clery J
Harroud,Adil,,Harroud A
Rosa-Neto,Pedro,,Rosa-Neto P
Small,Dana,,Small D
Zandee,Stephanie,,Zandee S
Fortin,Jerome,,Fortin J
Barnett,Alexander, ,Barnett A
Falet,Jean-Pierre R,,JR Falet
